sector,region,size,multiestablishment_firm,fiscal_year,fiscal_month,fiscal_day,last_fiscal_year,legal_status,other_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,year_established,fte_started,formal_year,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,name_quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,electricity_obstacle,main_activity,main_product,percentage_sales_main_product,sales,sales_description,sales_2years_ago,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,technology_supply_chain,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,transport_obstacle_ops,customs_obstacle_ops,main_solutions,kpis,production_targets,performance_bonus,promotions,time_dismissed,main_market,competitors,foreign_technology,informal_competitors,obstacle_informal_competitors,product_innovation,product_inn_market,product_inn_description,prod_inn_description2,process_innovation,process_inn_description,process_inn_description2,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,access_land_obstacle,security,losses_fraudulent_transactions,obstacle_crime,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,obstacle_access_finance,opinion_court_system,manager_timespent_regulations,tax_inspection,online_tax_payment,tax_officials_impartial,tax_officials_transparent,raised_complaints,government_contract,percentage_informal_payments,import_lic,operating_licence,payments_votes,payments_content_decrees,payments_votes_localdecrees,public_support,other_public_support_descrip,obtacle_tax_rates,obtacle_tax_adm,obtacle_permits,obstacle_political_inestability,obstacle_corruption,obstacle_occup_safety,obstacle_healthy_reg,obstacle_environment_reg,obstacle_courts,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,foreing_languages,interpersonal_skills,managerial_skilss,it_skilss,engineering_skilss,technical_skilss,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,obstacle_labor_reg,obstacle_educated_workers,biggest_obstacle,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value
Manufacturing,South Netherlands,Medium,Yes,2019,12,31,,Shareholding company with non-traded shares or shares traded privately,,100,Yes,1,0,0,0,Yes,1,No,Yes,1920,Don't know (spontaneous),1920,30,No,57,Post-graduate degree (Master or Doctorate),Yes,Yes,Yes,Step Oeko Tex Standard 100,No,No,No,No,Yes,No obstacle,Manufacturing of ,"Production Of Woven Name Labels, Textile Name Labels And Festival Bands",60,150000000.0,One Hundred Fifty Million,1000000,0,25,75,0,20,0,80,No losses,20,80,Database of suppliers manually updated using computers with general purpose software,Yes,No,Yes,Yes,No obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,No,-7,After 6 months of identifying non-manager under-performance,International,5.0,No,No,No obstacle,Yes,1,An Online Ordering Platform Where Customers Can Order Their Labels,Did Not Exist In This Company Before,Yes,Automatic Processing Of Orders,We Did Not Have This Yet,Yes,40000.0,0,100,100,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,No,No,Yes,No,Yes,No obstacle,Strongly agree,5,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,Yes,Does not apply,Does not apply,Does not apply,0,,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,1,8,9,5,3,7,6,4,2,9,9,As required,As required,As required,As required,Does not apply (spontaneous),As required,1,4,2,5,3,7,6,No full-time seasonal or temporary workers,No,Yes,1,4,2,5,3,7,6,No obstacle,No obstacle,Does not apply,13,12,1,5,10,7,14,4,15,11,9,8,3,6,2,400000,25000,0.0,800000.0
Retail services,East Netherlands,Small,Yes,2019,12,31,October,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,2016,8,2016,30,No,52,Secondary/diploma,Yes,No,No,,No,Yes,No,No,No,Minor obstacle,Retail trade of ,"Sale Of Mainly Women'S Shoes And Clothing As Well As Women'S Handbag And, Jewelry And Accessories",100,650000.0,Six Hundred Fifty Thousand,156000,100,0,0,0,100,0,0,No internal shipments made (does not apply),80,20,E-procurement with electronic orders integrated to specialized supply chain management systems,Yes,No,No,Yes,Minor obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,No,Non-managers are normally not promoted,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,40.0,Yes,No,No obstacle,Yes,0,Added Clothing As A Product Group In The Shop,Completely New,Yes,Hiring Better Staff To Better Manage The Shop,Brand New,Yes,2000.0,1,0,0,No,No obstacle,Yes,Yes,No obstacle,0,0,0,100,0,No,Yes,No,No,No,No,Yes,Major obstacle,Tend to agree,10,No,Yes,Strongly agree,Tend to agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,Moderate obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,9,8,6,4,3,5,1,7,2,8,8,As required,As required,As required,Below required,Does not apply (spontaneous),As required,7,5,6,4,3,2,1,2,Yes,Yes,7,5,6,4,3,2,1,Major obstacle,Moderate obstacle,Access to finance,9,11,6,14,13,12,4,15,2,5,8,1,3,10,7,113000,7000,4.0,0.0
Retail services,South Netherlands,Small,No,2019,12,31,December,Shareholding company with non-traded shares or shares traded privately,,25,Yes,None (This is the first),0,0,0,Yes,No family ownership,No,Yes,2016,7,2016,23,No,48,Post-graduate degree (Master or Doctorate),Yes,Yes,Yes,Hkz,No,No,No,No,Yes,No obstacle,Retail trade of ,Selling And Dispensing Medicines On Prescription As Well As Giving Advice In This Regard To Clients And Doctors,95,2400000.0,Two Million Four Hundred Thousand,1856000,99,0,1,0,100,0,0,No losses,10,90,E-procurement with electronic orders integrated to specialized supply chain management systems,Yes,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Non-managers are normally not promoted,DOES NOT APPLY (SPONTANEOUS),Local â main product sold mostly in same municipality where establishment is located,4.0,No,No,No obstacle,Yes,0,Digital Services Via App Or Website,The App Completely New Plus Expansion Of The Website,No,,,No,0,0,0,0,No,Major obstacle,Yes,Yes,No obstacle,100,0,0,0,0,No,Yes,No,No,No,Yes,Yes,No obstacle,Strongly agree,5,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,No impact,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,3,7,5,2,6,8,1,9,13,11,Does not apply (spontaneous),As required,Does not apply (spontaneous),As required,Does not apply (spontaneous),As required,4,3,7,5,2,6,1,2,Yes,Yes,4,3,7,5,2,6,1,No obstacle,Moderate obstacle,Inadequately educated workforce,4,3,12,5,11,6,14,10,13,15,2,1,9,8,7,367000,0,8.0,0.0
Manufacturing,South Netherlands,Small,No,2019,12,31,May,Other,,50,Yes,None (This is the first),0,0,0,Yes,100,No,Yes,1918,Don't know (spontaneous),1921,39,No,56,Secondary/technical/vocational training,Yes,No,Yes,Haccp,No,No,No,No,Yes,No obstacle,Manufacturing of ,Producing And Selling Bread And Pastries,100,507000.0,Five Hundred Seven Thousand,495000,95,0,0,5,100,0,0,No internal shipments made (does not apply),100,0,Other,No,No,No,No,No obstacle,No obstacle,DOES NOT APPLY (SPONTANEOUS),No,Yes,No,-7,DOES NOT APPLY (SPONTANEOUS),Local â main product sold mostly in same municipality where establishment is located,10.0,No,No,No obstacle,Yes,1,A Renewed Flan With Unknown Flavor Variants,All New Taste,No,,,No,0,0,100,100,No,No obstacle,Yes,No,No obstacle,20,80,0,0,0,Yes,Yes,Yes,Yes,No,No,No,No obstacle,Strongly disagree,1,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,Very severe obstacle,No obstacle,No obstacle,Very severe obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,2,6,1,5,8,9,3,7,4,6,6,Does not apply (spontaneous),As required,As required,As required,Does not apply (spontaneous),As required,2,4,1,5,6,7,3,No full-time seasonal or temporary workers,No,No,2,4,1,5,6,7,3,No obstacle,No obstacle,Tax rates,1,12,5,10,14,9,3,7,13,11,2,6,15,8,4,105000,25000,60.0,50000.0
Other services,West Netherlands,Small,No,2019,12,31,September,Shareholding company with non-traded shares or shares traded privately,,100,Yes,1,0,0,0,No,100,No,Yes,1991,1,1991,40,No,66,Bachelorâs degree,Yes,Yes,No,,No,Yes,No,No,Yes,No obstacle,Provide services of ,"Design, Manufacture And Sale Of Customer Specific Electronics, B2B, Integration Of Plc Programming Into The Designs (To Avoid Customers Have To Work With C++)",100,1050000.0,One Million Fiftythousand,1000000,0,0,30,70,45,0,55,No losses,30,70,Supplier Relation Management software (SRM),No,No,No,Yes,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,No,No,-7,After 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,20.0,No,No,No obstacle,Yes,1,"Conversion Of Existing Pcl Software To New, Cheaper Hardware, Avoiding Teething Problems That Could Otherwise Be Caused By Rewriting The Software",Completely New,Yes,Internal Development Procedures Have Been Improved,From Ad Hoc Work To Process-Based Work,Yes,Don't know (spontaneous),0,0,0,No,No obstacle,Don't know (spontaneous),Don't know (spontaneous),No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,No,No obstacle,Strongly agree,10,Yes,Yes,Tend to disagree,Tend to agree,Tend to disagree,No,0.0,No,No,No impact,No impact,No impact,1,,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,3,7,6,9,2,1,8,5,4,6,7,As required,As required,As required,As required,As required,As required,3,7,5,6,1,4,2,No full-time seasonal or temporary workers,No,No,3,7,5,6,1,4,2,Minor obstacle,Major obstacle,Inadequately educated workforce,3,7,6,9,10,14,12,11,4,15,13,8,5,1,2,410000,0,5.0,0.0
Retail services,North Netherlands,Medium,No,2019,12,29,April,Sole proprietorship,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,2017,1,2017,28,No,44,Bachelorâs degree,Yes,Yes,Yes,Haccp,No,No,No,No,Yes,No obstacle,Retail trade of ,"Supermarket, Food Sales. And Sale Of Some Non-Food Items Such As Telephone Cables And Other Small Household Items.",95,1653468.0,One Million Six Hundred Fifty Three Thousand Four Hundred Sixty Eight,252000,98,0,2,0,100,0,0,No losses,60,40,E-procurement with electronic orders integrated to specialized supply chain management systems,No,No,Yes,No,Minor obstacle,No obstacle,DOES NOT APPLY (SPONTANEOUS),Yes,Yes,No,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Rarely or never,Local â main product sold mostly in same municipality where establishment is located,6.0,No,No,No obstacle,No,0,,,Yes,Branch Has Been Renovated And The Items Are Offered Differently. The Shopping Experience For Customers Has Changed.,Customers Can Now Decide For Themselves What They Want To Buy. Presentation Is More Customer Oriented,No,0,0,0,0,No,No obstacle,Yes,Yes,Minor obstacle,0,0,100,0,0,Yes,Yes,Yes,No,No,No,Yes,No obstacle,Strongly agree,10,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,6,2,1,8,4,3,5,9,7,5,4,Below required,Above required,Above required,As required,As required,As required,6,2,1,7,4,3,5,2,Yes,Yes,6,2,1,7,4,3,5,Moderate obstacle,Minor obstacle,Labor regulations,6,2,11,1,14,3,12,15,13,8,5,10,7,4,9,106375,16800,0.0,0.0
Other services,West Netherlands,Small,No,2019,12,31,August,Shareholding company with non-traded shares or shares traded privately,,100,No,1,0,0,0,Yes,100,No,Yes,1982,6,1982,26,Yes,44,Secondary/technical/vocational training,Yes,No,Yes,Brc Food,No,No,No,No,Yes,Moderate obstacle,Wholesale trade of ,Fuel Trade,50,3203000.0,Three Million Two Hundred Three Thousand,4223386,8,91,1,0,69,30,1,No losses,98,2,Database of suppliers manually updated using computers with general purpose software,Don't know (spontaneous),No,Yes,No,Minor obstacle,Major obstacle,Don't know (spontaneous),Yes,Don't know (spontaneous),Yes,Promotions were based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,7.0,No,No,No obstacle,No,0,,,Yes,Improved Work Instructions For Vegetable Oils To Optimize Food Safety,Improved Work Instructions For Vegetable Oils For Optimizing Food Safety,Yes,5000.0,0,100,80,No,Moderate obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,Yes,Does not apply,Tend to disagree,20,No,Yes,Strongly agree,Tend to agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,Moderate obstacle,4,5,9,2,3,8,6,1,7,7,8,As required,As required,As required,As required,Does not apply (spontaneous),As required,4,5,7,2,3,1,6,No full-time seasonal or temporary workers,Yes,Yes,4,5,7,2,3,1,6,Minor obstacle,Moderate obstacle,Business licensing and permits,4,5,9,12,3,11,13,15,7,10,14,2,6,8,1,440000,11000,4.0,0.0
Manufacturing,South Netherlands,Small,No,2019,12,31,,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,2011,1,2011,15,No,36,Bachelorâs degree,Yes,No,No,,Yes,No,No,No,Yes,No obstacle,Manufacturing of ,"Cnc Machining, Turning, Milling And Engraving Of Custom Bolts, Machine Parts, Parts For Fasteners, Brass Nozzles, Tool Holders, Etc. For Pharmaceutical& Food Industry&For Machine Building&Automation.",80,1192000.0,One Million One Hundred Ninety Two Thousand,993000,0,100,0,0,100,0,0,No losses,20,80,Supplier Relation Management software (SRM),Yes,Yes,No,Yes,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,Too many to count,No,No,No obstacle,Yes,0,Thinking Along With The Customer And Developing New Products,Completely New,No,,,Yes,5000.0,0,0,0,No,No obstacle,Yes,No,No obstacle,70,30,0,0,0,No,Yes,Yes,No,No,No,No,No obstacle,Tend to agree,2,No,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,Yes,Does not apply,Does not apply,No impact,0,,Major obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,6,9,2,1,3,5,7,8,8,7,Does not apply (spontaneous),As required,Below required,As required,As required,Below required,4,6,5,2,7,1,3,No full-time seasonal or temporary workers,Yes,Yes,4,6,5,2,7,1,3,No obstacle,Major obstacle,Inadequately educated workforce,4,11,13,15,1,3,5,7,8,12,6,14,10,9,2,360000,5000,0.0,400000.0
Other services,West Netherlands,Small,No,2019,12,31,September,Shareholding company with non-traded shares or shares traded privately,,100,No,70,0,0,0,No,100,No,Yes,2007,4,2006,13,No,41,Bachelorâs degree,Yes,No,No,,No,No,No,No,Yes,No obstacle,Provide services of ,"Data And Analytics, Website Development, Search Engine Optimization, Optimization Of The Presence",80,8100000.0,Eight Million One Hundredthousand,6700000,0,85,15,0,95,5,0,No losses,70,30,Supplier Relation Management software (SRM),No,Yes,No,Yes,No obstacle,Does not apply,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",DOES NOT APPLY (SPONTANEOUS),International,8.0,No,No,Minor obstacle,No,0,,,No,,,Yes,100000.0,1,0,0,No,Moderate obstacle,Yes,Yes,No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,5,No,Yes,Don't know (spontaneous),Tend to agree,Does not apply,Yes,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,Major obstacle,No obstacle,Minor obstacle,Moderate obstacle,Does not apply,Very severe obstacle,No obstacle,No obstacle,Minor obstacle,5,4,7,3,2,8,6,1,9,18,14,Above required,Above required,Above required,Above required,Does not apply (spontaneous),As required,5,7,4,3,2,1,6,3,Yes,Yes,5,7,4,3,2,1,6,No obstacle,Moderate obstacle,Tax rates,13,15,7,11,2,8,14,12,9,5,3,1,10,6,4,1200000,720,12.0,0.0
Manufacturing,South Netherlands,Small,Yes,2019,12,31,May,Shareholding company with non-traded shares or shares traded privately,,100,Yes,3,100,0,0,No,100,No,Yes,2015,17,2015,25,No,50,Post-graduate degree (Master or Doctorate),No,No,Yes,Iso Iatf,No,No,No,No,Yes,Moderate obstacle,Manufacturing of ,"Hydroforming By Water Pressure Deforming Metal Pipes. Stainless Steel. By Deforming The Tubes, They Can Be Sawn And Laser Cut, Used In The Automotive Industry. Mainly Under The Hood And Exhausts",100,3100000.0,Three Million One Hundred  Thousand,1725000,0,0,0,100,5,0,95,No losses,0,100,Database of suppliers manually updated using computers with general purpose software,Yes,No,No,No,Moderate obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,Yes,-7,Rarely or never,International,10.0,No,No,No obstacle,No,0,,,No,,,Yes,50000.0,1,0,0,Yes,Moderate obstacle,No,No,No obstacle,0,0,0,15,85,Yes,Yes,No,No,No,No,Yes,Moderate obstacle,Strongly disagree,5,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,4,8,6,9,7,5,2,3,1,15,12,Above required,As required,As required,Below required,Above required,Above required,4,3,6,1,7,5,2,No full-time seasonal or temporary workers,No,Yes,4,3,6,1,7,5,2,No obstacle,Minor obstacle,Access to finance,4,13,6,9,7,11,2,12,10,1,14,15,8,5,3,845000,54000,12.0,1000000.0
Manufacturing,South Netherlands,Medium,No,2019,12,31,May,Shareholding company with non-traded shares or shares traded privately,,100,No,None (This is the first),100,0,0,No,No family ownership,No,Yes,2018,12,2018,3,No,52,Post-graduate degree (Master or Doctorate),Yes,No,No,,Yes,No,No,Yes,Yes,No obstacle,Manufacturing of ,Machines For Liquefying Gases,95,4200000.0,Four Million Two Hundred  Thousand,Establishment was not in business in Fiscal Year,0,40,0,60,0,0,100,No internal shipments made (does not apply),80,20,Database of suppliers manually updated using computers with general purpose software,Yes,Yes,No,Yes,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,Yes,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Rarely or never,International,5.0,No,No,No obstacle,No,0,,,No,,,Yes,15000.0,0,0,0,No,No obstacle,No,No,No obstacle,80,0,0,20,0,No,Yes,Yes,No,Yes,Yes,Yes,No obstacle,Strongly agree,4,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Yes,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,3,6,4,5,2,7,8,1,9,12,Establishment was not in business,As required,As required,As required,As required,As required,As required,6,3,4,5,2,7,1,No full-time seasonal or temporary workers,No,Yes,6,3,4,5,2,7,1,Minor obstacle,Minor obstacle,Inadequately educated workforce,3,6,15,5,2,7,12,13,9,11,1,14,10,8,4,1200000,5000,20.0,1000000.0
Retail services,East Netherlands,Small,Yes,2019,12,31,May,Partnership,,100,Yes,None (This is the first),0,0,0,Yes,No family ownership,No,Yes,1997,6,1997,35,Yes,53,Secondary/technical/vocational training,Yes,No,No,,No,No,No,No,Yes,Major obstacle,Retail trade of ,Lingerie Shop,70,700000.0,Seven Hundred Thousand,710000,100,0,0,0,100,0,0,No losses,Don't know (spontaneous),Don't know (spontaneous),NOT APPLICABLE,No,No,Yes,No,No obstacle,No obstacle,No action was taken,Yes,Yes,No,-7,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Yes,Yes,No obstacle,No,0,,,No,,,No,0,1,0,0,No,No obstacle,Yes,Yes,Minor obstacle,90,0,0,0,10,No,Yes,Yes,No,No,No,No,Minor obstacle,Strongly disagree,No time was spent,No,Yes,Don't know (spontaneous),Don't know (spontaneous),Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,7,2,9,3,4,8,6,5,1,1,1,Does not apply (spontaneous),Does not apply (spontaneous),Does not apply (spontaneous),Does not apply (spontaneous),Don't know (spontaneous),As required,1,2,5,3,4,7,6,Don't know (spontaneous),Don't know (spontaneous),No,1,2,5,3,4,7,6,No obstacle,No obstacle,Does not apply,7,12,5,9,4,8,6,14,13,11,3,2,15,10,1,80000,4000,2.0,0.0
Other services,West Netherlands,Medium,No,2019,12,31,March,Shareholding company with non-traded shares or shares traded privately,,70,No,18,0,0,30,No,No family ownership,No,Yes,2014,2,2014,8,No,27,Bachelorâs degree,Yes,Yes,No,,No,No,No,No,Yes,Very severe obstacle,Provide services of ,Development Of Digital Platforms And Applications,85,980000.0,Nine Hundred Eighty Thousand,280000,0,80,20,0,100,0,0,No internal shipments made (does not apply),33,67,Database of suppliers manually updated using computers with general purpose software,Yes,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",After 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,12.0,No,No,No obstacle,Yes,1,Development Of Applications From A No Code Platform,Completely New,Yes,Improving Sales Forecast,Old Process Was Excel Sheets And Now Special Software,Yes,50000.0,0,0,0,No,No obstacle,Yes,No,No obstacle,75,0,25,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Moderate obstacle,Strongly agree,No time was spent,No,Yes,Does not apply,Does not apply,Does not apply,Yes,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,8,7,4,3,2,5,9,1,6,5,0,As required,As required,As required,Above required,As required,As required,6,7,4,3,2,5,1,2,Yes,Yes,6,7,4,3,2,5,1,Minor obstacle,Moderate obstacle,Inadequately educated workforce,10,7,4,14,2,11,9,8,13,12,15,3,6,1,5,620000,0,0.0,0.0
Manufacturing,West Netherlands,Small,Yes,2020,6,30,January,Shareholding company with non-traded shares or shares traded privately,,100,No,10,100,0,0,Don't know (spontaneous),No family ownership,No,No,2010,4,2010,10,No,56,Post-graduate degree (Master or Doctorate),Yes,No,Yes,Iso 9000,No,No,No,No,Yes,No obstacle,Manufacturing of ,Selling Medicines Against Tree Pollen And Grass Allergies,100,4000000.0,Four Million,4000000,0,0,0,100,100,0,0,No losses,0,100,Manual search of suppliers without storing supplierâs information in centralized database,No,No,No,No,No obstacle,Minor obstacle,DOES NOT APPLY (SPONTANEOUS),No,No,Yes,-7,After 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,2.0,No,No,No obstacle,Yes,0,Products Were Put Into Vials Instead Of Syringes.,Completely New,No,,,No,0,0,0,0,No,No obstacle,No,No,No obstacle,70,0,0,30,0,Yes,Yes,Yes,No,No,No,Yes,No obstacle,Strongly agree,15,No,Yes,Does not apply,Does not apply,Does not apply,Yes,0.0,No,No,Does not apply,Does not apply,Does not apply,1,Now 1,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,7,3,5,2,8,6,9,4,11,11,As required,As required,As required,Below required,Does not apply (spontaneous),As required,1,4,3,6,2,7,5,No full-time seasonal or temporary workers,Yes,Yes,1,4,3,6,2,7,5,No obstacle,Minor obstacle,Inadequately educated workforce,7,15,3,5,11,14,12,9,4,13,2,1,6,8,10,880000,600,52.0,80000.0
Other services,West Netherlands,Small,No,2019,12,31,January,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,2015,1,2015,30,No,56,Bachelorâs degree,Yes,Yes,No,,No,No,No,No,Yes,Major obstacle,Provide services of ,"It Hardware Provider, But Mainly The It Services (Incl. Cloud Services).",70,20000000.0,Twenty Million,11000000,0,0,2,98,90,10,0,No internal shipments made (does not apply),100,0,E-procurement with electronic orders integrated to specialized supply chain management systems,Don't know (spontaneous),No,No,Yes,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,Too many to count,No,No,No obstacle,Yes,0,"Also Started Offering Cloud Services, Cloud Service Storage No Longer With The Customer But Externally",Completely New,Yes,"Introduction Of Processes In The Field Of Data Security (E.G. Introduction Of Privacy Policy, â¦)",Completely New And Adapted To International Guidelines,Yes,40000.0,0,100,100,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,No,No,No,Yes,No obstacle,Strongly agree,3,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,7,5,6,8,3,1,2,9,15,5,As required,As required,As required,Above required,Above required,Above required,4,6,5,7,2,3,1,No full-time seasonal or temporary workers,Yes,Yes,4,6,5,7,2,3,1,No obstacle,Major obstacle,Inadequately educated workforce,15,1,5,11,12,10,3,2,13,7,14,8,9,6,4,1200000,10000,0.0,0.0
